,HH Transcription,dhamma.stream transcripts,open ai whisper raw
20181202 - 42hh - QA - On Vipallasa Sutta - AN 4.49.mp3,,,
20181204 - 39hh - ON SUTTAS - On mindfulness of the body - Part 1.mp3,,,
20181209 - 40hh - ON SUTTAS - On mindfulness of the body - Part 2.mp3,,,
20181214 - 22hh - DISCUSSIONS FROM A MOUNTAIN TOP #10 - Lifestyle coices - SN 20.8.mp3,,,
20181216 - 41hh - GUIDED CONTEMPLATION - Awareness.mp3,x,,
20181220 - 46hh - ON SUTTAS - Stop trying to stop thinking.mp3,,,
20181224 - 44hh - QA - Happy Life.mp3,,,
20181230 - 48hh - ON SUTTAS - Do you see what is present - MN 38.mp3,,,
20190103 - 49hh - ON SUTTAS - Mindfulness of breathing - MN 118.mp3,,,
20190107 - 51hh - GUIDED CONTEMPLATION - At the old guards cave.mp3,x,,
20190110 - 47hh - ON SUTTAS - Solitude isnt optional - MN 150.mp3,,,
20190114 - 50hh - MEDITATION - Abiding in non-activity.mp3,,,
20190117 - 53hh - MEDITATION - The right kind of questioning - MN 40.mp3,,,
20190121 - 23hh - DISCUSSIONS FROM A MOUNTAIN TOP #11 - AN 2.5.mp3,,,
20190124 - 43hh - QA - Why should you meditate.mp3,,,
20190128 - 56hh - ON SUTTAS - Meditation is clarity of understanding - MN 121.mp3,,,
20190204 - 58hh - ON SUTTAS - It will not be mine - MN 106.mp3,,,
20190211 - 57hh - ON SUTTAS - Perception is already ignorant - MN 1.mp3,,,
20190217 - 52hh - MEDITATION - Vipassana and understanding the unwholesome.mp3,,,
20190219 - 54hh - MEDITATION - Stop wanting the wanting of sensuality.mp3,x,,
20190220 - 61hh - QA - The Dhamma is directly visible.mp3,,,
20190223 - 67hh - Comprehending the mindfulness of breathing.mp3,x,,
20190227 - 59hh - ON SUTTAS - The Danger of gratification - MN excerpts.mp3,,,
20190304 - 65hh - The existential context of mindfulness.mp3,,,
20190309 - 62hh - Its not the pain that makes you suffer.mp3,,,
20190317 - 66hh - GUIDED CONTEMPLATION - My self is not my own.mp3,,,
20190322 - 69hh - On Ajahn Chahs Still Flowing Water.mp3,,,
